home 
143.5405,252.1871,-77.1573
144.8316,250.7402,-77.3586
145.3237,252.6637,-76.8583
143.9228,252.5501,-76.9371
143.5256,252.2688,-77.1101
143.8942,252.4701,-77.0386

dumbie 21
151.4181,254.5685,-77.4153
151.2830,254.0889,-77.4129
150.9233,254.3024,-77.3473
151.5949,253.8411,-77.5411
151.2706,253.7976,-77.5215

needle 20
152.5690,246.2608,-71.8204
152.2540,245.9133,-71.7489
152.9097,245.4545,-71.7761
153.3874,243.9367,-71.9718
153.6608,244.2219,-72.0781
153.8987,243.7741,-72.1893
154.4386,244.2655,-72.0956
155.2949,244.8247,-71.8936
155.5284,245.1626,-71.6471
155.5284,245.1626,-71.6471
155.7813,245.4518,-71.2366
156.3157,245.8707,-71.0332
155.9690,246.6967,-70.7054
155.5310,247.6093,-70.5386
154.4449,247.7063,-70.3896
154.4449,247.7063,-70.3896
153.2087,247.3664,-70.5372
153.4557,247.2525,-70.7034
153.2999,247.2223,-70.8056
153.2999,247.2223,-70.8056
152.8505,246.6336,-70.9768
153.3489,246.6940,-71.1270
153.8810,246.1797,-71.2617
154.1206,246.0721,-71.4254
154.6625,245.5182,-71.3938
154.3815,244.6829,-71.4940
153.8416,246.3189,-71.2473
153.1472,246.1510,-71.4696
152.8094,246.1729,-71.8645
152.3144,246.8159,-71.8811
152.1471,246.1566,-72.1806
152.4233,245.5730,-72.4592
153.0904,244.9560,-72.4229
153.9207,244.7017,-72.0428
154.5223,245.9101,-71.4075

dumbie 20
156.0667,248.5294,-76.0812
155.8605,247.9377,-76.0198
156.2239,248.5883,-75.8498
156.7448,248.1571,-75.7230
157.1409,248.8501,-75.6443
156.8865,247.8884,-75.4073

conn 2 needle 12
155.7093,260.7910,-57.5752
156.5180,260.4479,-57.4143
157.1670,259.6318,-57.2713
158.5311,259.7894,-57.0581
158.9490,259.8675,-56.7643
158.9490,259.8675,-56.7643
159.6842,262.3416,-56.2303
157.9706,263.4738,-55.6482
156.9457,262.3431,-55.9967
155.6039,260.6677,-56.9376
155.6039,260.6677,-56.9376
156.8318,259.5719,-57.3640
158.6145,260.0578,-57.1928
159.5546,260.2892,-56.8137
160.3936,260.9824,-56.5064
159.8280,261.4109,-56.3905
159.5989,262.3130,-56.2077
158.5808,263.3898,-56.0403
157.7492,263.5185,-56.1465
156.7715,263.0225,-56.3483
156.1070,262.2169,-56.7953
155.6831,261.1434,-57.2194
155.6831,261.1434,-57.2194
158.7947,261.2014,-56.8797
158.9962,262.4917,-56.4268
156.5244,261.3032,-56.9719
155.8088,260.3258,-57.1306
155.8088,260.3258,-57.1306
158.6690,261.2115,-56.7834
159.1344,261.7988,-56.5706
157.1417,262.2351,-56.6331
155.8280,260.9942,-57.2042
156.7290,260.5206,-57.2108
157.2102,261.1675,-56.9921
157.3059,262.8927,-56.6795
156.6814,261.3889,-56.7012
156.6814,261.3889,-56.7012

dumbie 12
165.5264,261.6364,-64.1790
165.3561,261.8464,-63.9737
165.2545,261.6964,-64.0913
164.7445,261.3492,-64.1993

needle 13
149.7889,262.3199,-65.9845
149.9903,262.6506,-65.8521
150.5692,262.1014,-65.7028
151.7312,261.4103,-65.5289
152.8479,261.2131,-65.2904
152.8479,261.2131,-65.2904
152.6929,262.2939,-64.9490
152.1839,263.7235,-64.2930
153.2890,264.1142,-63.8824
152.3607,264.4901,-63.7491
151.2336,265.1590,-64.0592
150.8153,264.8682,-64.3723
150.8153,264.8682,-64.3723
150.1949,264.4691,-64.6057
149.8969,264.0358,-64.7784
148.6496,263.1058,-65.2042
150.3768,262.4886,-65.8005
152.1396,262.2032,-65.8138
153.1209,263.2248,-65.0418
152.4566,264.7872,-64.7476
151.0824,264.8958,-64.8570
150.4966,264.7832,-64.9715
149.3506,263.5714,-65.9061
150.0593,262.5029,-66.1515
150.3993,262.2792,-66.3937
151.2804,261.1833,-66.3899
151.2804,261.1833,-66.3899
150.9461,261.2575,-66.3742
150.7126,261.6017,-66.3861
151.7492,262.8336,-65.7228
152.0444,263.6362,-65.4052
150.6915,265.0286,-65.2822
149.6612,264.5898,-65.6361
148.5322,264.1965,-65.8744
148.9750,264.1377,-66.1944
148.9750,264.1377,-66.1944
148.6548,264.0535,-66.7019

dumbie 13
148.2487,267.9724,-68.9325
149.1534,267.8953,-68.8365
149.2090,267.9291,-68.8317
149.7368,267.7017,-68.5682
149.2203,267.4854,-68.7691
148.9956,268.0382,-68.6725
148.8928,268.0953,-68.6725
148.6539,267.9379,-68.6958

conn 3 needle 15
144.6534,278.8942,-60.7917
144.5642,278.8725,-61.1388
144.5415,278.8408,-60.9733
144.2805,278.2990,-61.4559
144.2641,277.7766,-61.3866
144.4215,277.3214,-61.4585
143.5733,276.5174,-61.5660
143.5157,276.1527,-61.6559
142.9169,274.7699,-62.1544
143.7339,274.5825,-61.6906
144.9061,274.2739,-61.1892
145.8320,275.0877,-60.4466
146.3777,274.9959,-60.2573
146.3777,274.9959,-60.2573
146.4271,275.7218,-60.0352
146.2271,277.5259,-59.8683
146.1187,277.7657,-59.6276
144.5431,278.3622,-59.7347
144.2573,278.8927,-60.1596
143.6614,278.8342,-60.4997
143.6614,278.8342,-60.4997
143.3402,278.3537,-60.5289
142.9765,276.7667,-61.1906
143.1854,275.8740,-61.4376
143.1854,275.8740,-61.4376
145.5759,274.2828,-60.7147
145.5759,274.2828,-60.7147
146.1932,275.1798,-60.3685
146.7486,275.6104,-60.2462
146.4655,276.6169,-60.2276
147.3812,277.2132,-59.6741
145.5080,278.2280,-59.8816
145.5080,278.2280,-59.8816
144.4089,278.3604,-60.3065
145.0749,277.0220,-60.4933
144.4881,277.0282,-60.7931
144.4881,277.0282,-60.7931
145.3928,275.6664,-60.8725
144.9187,275.7982,-60.9827

dumbie 15
150.3255,278.1028,-62.8440
150.6749,278.5802,-62.7296
151.1172,278.1476,-62.6527
151.5981,278.3344,-62.4323
151.8262,278.0165,-62.3556

needle 14 conn 3
157.4375,267.5530,-55.0214
157.5080,266.5919,-56.4115
159.0520,267.1011,-56.2598
159.7033,266.9950,-56.1629
160.4916,269.1243,-55.0726
160.4916,269.1243,-55.0726
160.2079,269.6935,-55.0262
160.7094,269.4410,-54.9106
161.1463,269.6671,-54.8291
161.2956,270.3539,-54.6284
161.0915,271.0559,-54.5476
160.8512,271.5524,-54.4926
159.4479,271.9902,-54.6112
158.3387,272.5585,-54.4963
157.9224,272.0217,-54.8953
157.2174,272.5564,-54.8531
156.2623,271.3585,-55.3632
156.3669,271.3336,-55.5798
156.0313,270.3855,-55.8195
156.5722,270.4740,-55.7611
156.6510,269.7631,-55.9191
156.7784,269.0378,-56.0038
156.8968,267.6862,-56.3215
157.4187,267.4202,-56.1219
158.0933,267.3239,-55.9776
158.1855,266.9994,-55.7388
158.8681,268.0328,-55.4036
158.8681,268.0328,-55.4036
159.0233,268.5105,-55.0702
158.6486,268.5974,-55.0872
157.9175,269.5898,-54.8808
158.1857,269.4972,-54.9525
160.6719,269.1814,-54.7437
158.2113,270.2501,-54.7001
157.5562,270.4458,-54.6709
156.7360,271.2003,-54.7802
158.7342,272.0730,-54.4801
159.4865,271.1697,-54.3145
159.1864,271.7470,-54.6778
157.0499,271.6298,-54.9009
156.4495,271.6244,-54.9424
156.0098,272.1776,-55.0453
156.9492,271.6304,-54.1257

dumbie 14
151.8164,273.5456,-61.1765
152.2087,273.6438,-61.0459
153.0922,273.6949,-60.6985
152.5423,272.8137,-61.0929

conn 4 needle 16
157.7285,277.5089,-53.2500
158.7430,276.4502,-52.7473
159.4117,276.2228,-52.8203
159.8807,276.6167,-52.9343
160.3053,277.7562,-52.8783
160.6913,278.3332,-52.8790
161.1987,278.8726,-52.7912
160.1189,279.2250,-52.7609
160.0330,279.8091,-52.7107
159.1335,280.1202,-52.2964
157.8129,280.8875,-52.8823
157.8442,280.4388,-53.0337
157.3615,279.1433,-52.6603
157.3615,279.1433,-52.6603
157.4833,278.1945,-52.3848
157.6271,276.7619,-52.4141
158.9524,276.8504,-52.3943
159.7413,277.5243,-52.3481
158.5422,277.8273,-52.2261
157.8544,278.4821,-52.5862
157.8544,278.4821,-52.5862
159.8476,278.0974,-52.4739
159.8476,278.0974,-52.4739
160.1956,278.6646,-52.1947
158.7439,280.0020,-52.3464
158.6044,280.0877,-52.2666
